Andalucía;6.339.755;84,0;50,3
Aragón;973.022;84,5;53,4
Asturias, Principado de;761.818;80,4;52,1
Balears, Illes;934.941;85,7;52,8
Canarias;1.759.234;82,3;37,5
Cantabria;435.873;79,0;51,7
Castilla y León;1.740.099;81,5;50,2
Castilla-La Mancha;1.507.007;78,9;52,9
Cataluña;5.648.947;85,5;60,2
Comunitat Valenciana;3.754.401;81,5;53,0
Extremadura;785.372;77,6;51,9
Galicia;1.985.871;75,2;47,2
Madrid, Comunidad de;5.051.342;87,6;62,9
Murcia, Región de;1.118.512;83,2;48,8
Navarra, Comunidad Foral de;481.480;82,6;59,0
País Vasco;1.608.123;79,4;55,4
Rioja, La;232.305;80,9;50,0
Ceuta;58.819;84,6;55,1
Melilla;61.367;85,3;48,7
